raw,type,object,options,answer,description
"""Grandmother, what big eyes you have!""",missing_word,"""Grandmother, what big eyes you ******!""",[],have,Заполните пропуск вспомогательным глаголом
"Once upon a time there lived in a certain village a little country girl, the prettiest creature who was ever seen.",missing_word,"Once upon a time there lived in a certain village a little country girl, the prettiest creature who ****** ever seen.",[],was,Заполните пропуск вспомогательным глаголом
"Moral: Children, especially attractive, well bred young ladies, should never talk to strangers, for if they should do so, they may well provide dinner for a wolf.",missing_word,"Moral: Children, especially attractive, well bred young ladies, ****** never talk to strangers, for if they ****** do so, they may well provide dinner for a wolf.",[],should,Заполните пропуск вспомогательным глаголом
"""Grandmother, what big ears you have!""",missing_word,"""Grandmother, what big ears you ******!""",[],have,Заполните пропуск вспомогательным глаголом
This good woman had a little red riding hood made for her.,missing_word,This good woman ****** a little red riding hood made for her.,[],had,Заполните пропуск вспомогательным глаголом
Her mother was excessively fond of her; and her grandmother doted on her still more.,missing_word,Her mother ****** excessively fond of her; and her grandmother doted on her still more.,[],was,Заполните пропуск вспомогательным глаголом
"The wolf pulled the bobbin, and the door opened, and then he immediately fell upon the good woman and ate her up in a moment, for it been more than three days since he had eaten.",missing_word,"The wolf pulled the bobbin, and the door opened, and then he immediately fell upon the good woman and ate her up in a moment, for it been more than three days since he ****** eaten.",[],had,Заполните пропуск вспомогательным глаголом
"The good grandmother, who was in bed, because she was somewhat ill, cried out, ""Pull the bobbin, and the latch will go up.""",missing_word,"The good grandmother, who ****** in bed, because she ****** somewhat ill, cried out, ""Pull the bobbin, and the latch will go up.""",[],was,Заполните пропуск вспомогательным глаголом
"Little Red Riding Hood, hearing the big voice of the wolf, was at first afraid; but believing her grandmother had a cold and was hoarse, answered, ""It is your grandchild Little Red Riding Hood, who has brought you a cake and a little pot of butter mother sends you.""",missing_word,"Little Red Riding Hood, hearing the big voice of the wolf, ****** at first afraid; but believing her grandmother had a cold and ****** hoarse, answered, ""It is your grandchild Little Red Riding Hood, who has brought you a cake and a little pot of butter mother sends you.""",[],was,Заполните пропуск вспомогательным глаголом
"The poor child, who did not know that it was dangerous to stay and talk to a wolf, said to him, ""I am going to see my grandmother and carry her a cake and a little pot of butter from my mother.",missing_word,"The poor child, who ****** not know that it was dangerous to stay and talk to a wolf, said to him, ""I am going to see my grandmother and carry her a cake and a little pot of butter from my mother.",[],did,Заполните пропуск вспомогательным глаголом
